budget,imdb_id,original_language,runtime,revenue,genres1,genres2,genres3,prod1,prod2,prod3,weekday,month,year,day,cast1,cast2,cast3,cast4,cast5,director,producer,budget_log
14000000,tt2637294,3,93.0,5963324,4,0,0,1602,2290,1369,4,2,2015,20,52997,64342,54729,36801,54812,3227,57822,16.454567959008102
40000000,tt0368933,3,113.0,22956453,4,7,8,2366,0,0,4,8,2004,6,1813,5823,1210,655,33656,1201,59973,17.50439003707821
3300000,tt2582802,3,105.0,135388,7,0,0,290,287,1816,4,10,2014,10,996701,18999,129104,970216,223012,136495,1287961,15.009433329466965
0,tt0391024,3,84.0,27125,6,0,0,0,0,0,3,1,2004,15,556951,556952,19011,556953,-1,115892,-1,0.0
0,tt0117110,3,100.0,7906689,1,4,13,2366,1113,1112,4,2,1996,16,13472,19996,12094,9188,64181,65298,65298,0.0
6000000,tt0310281,3,91.0,2112140,4,13,0,392,0,0,2,4,2003,16,12438,13524,8265,26510,43775,13524,6467,15.607270193858982
0,tt0093857,3,98.0,7900879,4,0,0,2264,94,97,4,7,1987,10,62036,87003,67893,23881,55277,18311,-1,0.0
15000000,tt0169547,3,122.0,861531,7,0,0,634,1114,0,2,9,1999,15,1979,516,2155,8210,8211,39,8216,16.52356082573315
53000000,tt0377471,3,118.0,23450212,4,5,0,623,1108,1497,4,3,2005,4,8891,139,4937,5726,37934,37932,8305,17.78580249038432
102000000,tt0181689,3,145.0,35677125,1,17,16,634,523,92,3,6,2002,20,500,72466,2206,2201,2207,488,2212,18.440483381052466
26000000,tt0421239,3,85.0,16167662,12,17,0,634,513,240,3,8,2005,4,53714,2037,1248,34195,58792,5140,35581,17.073607134447293
0,tt1700845,3,111.0,31948,7,15,0,192,945,1301,2,12,2013,25,5469,72855,33450,5470,2441,5469,1052253,0.0
8000000,tt1487118,3,96.0,192,4,15,0,2277,1698,61,2,2,2011,2,72855,21662,15110,2440,66442,78562,-1,15.894952224644102
32000000,tt0388482,3,87.0,16540720,1,17,5,2264,530,2093,1,8,2005,2,976,38425,57346,57345,7693,18865,21932,17.281246492014
80000000,tt0120738,3,130.0,20154919,2,8,16,1476,1074,1696,4,4,1998,3,64,227,14407,13920,69122,2042,22078,18.197537205138154
4000000,tt0083972,3,95.0,9406522,12,17,0,1602,1099,0,4,8,1982,13,58799,58802,1225471,106249,55268,58712,-1,15.201805169084134
0,tt1687277,3,92.0,9571,17,14,10,2479,2480,831,4,9,2011,2,7268,515875,176050,1539,22250,97864,582620,0.0
0,tt0104139,3,95.0,2714815,4,12,14,2299,544,1195,4,10,1992,23,16476,26469,44301,80292,154629,41795,28401,0.0
45000000,tt0264472,3,89.0,17128062,1,2,5,1602,0,0,6,4,2002,7,880,2231,17358,3051,2226,7017,2997,17.622173069956816
90000000,tt1618442,3,106.0,10812861,9,1,2,2074,168,1537,2,10,2015,21,12835,1223793,109,110902,7241,52609,65377,18.31532023940565
0,tt2926810,3,125.0,4022,12,0,0,1300,629,2207,3,10,2014,2,1063017,98104,63078,125852,1260162,1038001,1376248,0.0
140000000,tt0293564,3,91.0,49100158,1,4,5,1476,0,0,2,8,2007,8,66,18897,9195,2201,2245,11091,41896,18.757152987716434
50000000,tt0114069,3,127.0,13420387,1,7,16,1159,1723,2371,4,3,1995,10,4483,14343,192,1979,9777,5231,5231,17.72753358339242
0,tt2710368,3,90.0,31900,17,0,0,0,0,0,4,9,2013,13,204949,218569,1172152,999546,210128,238822,-1,0.0
0,tt0380268,3,118.0,36295,1,6,0,1758,0,0,2,4,2006,26,1308762,1308764,1308763,1308767,1308770,141475,-1,0.0
25000000,tt0156841,3,108.0,5870387,4,0,0,1602,1185,0,4,3,2000,3,3125,4757,4589,19306,14792,19304,68602,17.034386422832473
80000000,tt0438097,3,91.0,68033544,3,8,4,280,2263,0,3,3,2006,23,15757,5723,5724,15758,57599,5714,5719,18.197537205138154
44000000,tt3460252,3,167.0,4610676,5,7,14,623,2182,761,4,12,2015,25,2231,6856,10431,27740,76961,138,963669,17.599700214609808
0,tt1781058,3,94.0,336227,7,4,0,58,0,0,4,3,2017,24,57755,1849470,1318195,1849471,224197,303056,21117,0.0
38000000,tt0111280,3,118.0,23116394,16,1,2,1602,0,0,3,11,1994,17,2387,2388,1213786,2390,2391,2380,2383,17.453096744006448
20000000,tt3231054,3,107.0,11801271,1,0,0,480,62,1177,4,2,2016,19,10993,7248,12763,22109,142290,8300,1186631,16.811242881518265
0,tt0476991,3,95.0,864,13,15,0,2019,0,0,1,6,2008,24,84615,84616,84617,1394359,15855,84618,-1,0.0
14000000,tt0278295,3,95.0,10007291,1,2,4,1476,0,0,4,3,2002,8,9778,51944,2478,76093,8170,34453,-1,16.454567959008102
150000000,tt0381061,3,144.0,40833156,2,1,17,691,2054,196,1,11,2006,14,8784,10912,1019,5309,2954,10702,69678,18.826145858727198
12000000,tt1821549,3,115.0,140401,7,2,0,1603,292,0,5,9,2013,21,6905,62831,59410,35515,825,13235,17173,16.300417291085605
0,tt2852400,21,133.0,19867,7,0,0,1528,2440,1934,4,10,2013,4,15170,71051,24044,1186922,107775,24011,544325,0.0
85000000,tt0463985,3,104.0,23973840,1,5,7,2299,0,0,5,6,2006,3,155,116277,61697,58197,116278,58189,11874,18.258161826219297
29000000,tt0366627,3,103.0,2723682,7,14,17,1917,1316,2309,4,3,2005,4,3490,116,10823,10431,6473,40307,3804,17.182806422433504
0,tt0318462,4,126.0,159819,7,0,0,1922,2415,2011,4,2,2004,6,258,18478,18499,6859,105738,8574,18493,0.0
11000000,tt0099329,3,85.0,3004905,4,13,0,1015,2299,0,3,4,1990,5,85,21412,40175,59369,10826,10367,56891,16.213405921671733
17000000,tt1438176,3,106.0,7714388,12,4,0,2229,0,0,3,8,2011,18,21028,72466,3051,54691,20049,50767,71237,16.648723960844016
1500000,tt3835080,3,102.0,11842,12,17,0,2020,2418,1716,3,9,2016,15,21319,41229,56890,44936,43774,16848,1571049,14.220976332738882
10284523,tt0338427,3,104.0,229685,4,7,15,694,988,1949,4,10,2005,21,67773,6194,17881,20751,4432,26481,61091,16.14615079900646
43000000,tt0397101,3,104.0,16057945,7,12,14,2299,1280,623,4,7,2005,29,11661,4800,133,5049,52847,1978,1396886,17.57671069691365
20000000,tt1730768,3,126.0,3288835,7,11,0,1901,1177,531,4,3,2017,31,83002,115742,3872,1808652,507837,15287,1711463,16.811242881518265
0,tt0108185,3,109.0,8104624,7,17,14,358,1785,72,4,2,1993,5,1038,1205,8984,15152,3204,15148,376,0.0
60000000,tt0268978,3,135.0,367151,7,15,0,1015,634,2299,1,12,2001,11,934,228,6161,290,6162,6159,6186,17.909855136853043
0,tt1870529,3,121.0,2603370,7,0,0,887,2360,1213,4,9,2012,28,19492,1579,10182,129101,4810,84061,5162,0.0
31000000,tt1244659,3,105.0,6012594,7,0,0,623,346,0,3,1,2010,21,3,18269,41292,24047,135164,56717,6344,17.249497794707484
72000000,tt0112573,3,177.0,9938276,1,7,11,1003,2163,187,2,5,1995,24,2461,2462,1957,2463,2464,2461,142285,18.09217669086922
14000000,tt0122541,3,97.0,192802,7,4,15,1402,1727,0,3,4,1999,15,112,6613,4757,1231,18325,56710,-1,16.454567959008102
35000000,tt0361841,3,111.0,7075217,4,15,7,1805,281,0,4,8,2004,6,328,18686,8534,17402,60633,42274,70592,17.370858648025116
100000000,tt1390411,3,122.0,11053366,17,7,2,1015,2027,2371,4,11,2015,20,74568,239996,2037,2039,17064,6159,16731,18.420680753952364
20000000,tt0094746,3,106.0,7093325,4,7,15,2299,1764,0,4,3,1988,25,4756,4690,85867,111902,1953,5342,32790,16.811242881518265
93000000,tt0120737,3,178.0,47211490,2,9,1,2419,1476,2177,1,12,2001,18,109,1327,112,114,48,108,123,18.34811006187022
25000000,tt0279493,3,86.0,12037685,1,4,0,2299,0,0,4,5,2002,31,62842,58317,9205,53923,8687,72024,72026,17.034386422832473
0,tt2113822,21,145.0,105702,7,0,0,680,1348,1963,3,11,2012,1,3490,504,130985,1340,102296,1287732,1636256,0.0
0,tt0486946,3,100.0,39699023,1,2,4,2411,2229,0,4,3,2007,2,12898,8891,78029,3905,11477,68573,62758,0.0
0,tt0106471,3,107.0,787724,7,15,0,1307,0,0,4,6,1993,18,6104,6681,2053,2115,64928,14800,364835,0.0
90000000,tt0266915,3,90.0,67408222,1,4,5,1476,0,0,4,8,2001,3,66,18897,1339,41901,58210,11091,-1,18.31532023940565
